8,2013-03-18 13:26:07.212042,1,7,Planted Grassland,"As above, except ?. Planted grassland, containing either indigenous or exotic species, growing under man-managed (including irrigated) conditions for grazing, hay or turf production, recreation (i.e. golf) etc
",1.36423,1,1,
12,2013-03-18 19:47:44.165141,1,11,Forest Plantations Other,"All areas of systematically planted, man-managed tree resources, composed of primarily exotic species (including hybrids). Category includes both young and mature plantations that have been established for commercial timber production, seedling trials and woodlot / windbreaks of sufficient size to be identifiable on satellite imagery. Excludes all non-timber based plantations such as tea, sisal, citrus, nut crops etc.",4.24733,1,1,
14,2013-03-18 13:26:23.699655,1,13,Waterbodies,"Areas of (generally permanent) open water. The category includes both natural and man-made waterbodies, which are either static or flowing, and fresh, brakish and salt-water conditions. This category includes features such as rivers, major reservoirs, farm-level irrigation dams, permanent pans, lakes and lagoons.",0.914536,1,1,
16,2013-03-26 20:44:10.375058,1,15,Bare Rock and Soil natural,"Natural areas of exposed sand, soil or rock with no, or very little vegetation cover during any time of the year, (excluding agricultural fields with no crop cover, and open cast mines and quarries). Examples would include rock outcrops, beach sand, and dry riverbed material.",1.09524,1,1,
17,2013-03-26 20:44:09.199092,1,16,Bare Rock and Soil erosion,"Non-vegetated areas or areas of very little vegetation cover in comparison to the surrounding natural vegetation, that are primarily the result of active gully erosion processes. Typically located in association with areas of poor grassland cover along existing streamlines and or on slightly steeper slopes than sheet erosion areas i.e. greater than 6 degree slope. In some areas the full extent of donga activity may be obscured by either overhanging adjacent bushes, encroaching thorn bush, or, in the case of more stable dongas, by bush or grass cover along the actual streamline.",3.60974,1,1,
18,2013-03-28 19:28:10.375065,1,17,Bare Rock and Soil  sheet,"Non-vegetated areas or areas of very little vegetation cover in comparison to the surrounding natural vegetation, that are primarily the result of active sheet erosion processes. Typically located in association with areas of severe donga erosion and  or poor grassland cover i.e. low image NDVI rating. In some areas the full extent of this process may be obscured by encroaching bush. Typically located on slopes less than or equal to 6 degrees.",0.05,1,1,
20,2013-03-18 19:47:53.765142,1,19,Degraded Thicket Bushland etc ,"Permanent or near-permanent, man-induced areas of very low vegetation cover i.e. removal of tree, bush, or herbaceous cover in comparison to the surrounding natural vegetation cover. Typically associated with subsistence level agriculture and rural population centres, where overgrazing of livestock and or wood-resource removal has been locally excessive. Often associated with severe soil erosion problems.",1.23993,1,1,
21,2013-03-28 19:28:29.286697,1,20,Degraded Shrubland Low Fynbos,"Permanent or near-permanent, man-induced areas of very low vegetation cover i.e. removal of tree, bush, or herbaceous cover in comparison to the surrounding natural vegetation cover. Typically associated with subsistence level agriculture and rural population centres, where overgrazing of livestock and or wood-resource removal has been locally excessive. Often associated with severe soil erosion problems.",0.1,1,1,
24,2013-03-27 07:03:36.30089,1,23,Cultivated perm commercial,Land which has been ploughed and or prepared for the raising of crops excluding timber production. Unless otherwise stated includes areas currently under crop fallow land and land being prepared for planting. Class boundaries are broadly defined to encompass the main areas of agricultural activity and are not defined on exact field boundaries. As such all sub-classes may include small inter-field cover types e.g. hedges grass strips small windbreaks as well as farm infrastructure Commercial  characterised by large uniform well managed field units i.e.   50 ha with the aim of supplying both regional national and export markets. Often highly mechanised.,4.96383,1,1,
25,2013-03-28 15:56:57.997714,1,24,Cultivated perm commercial dry,"",0.26,1,1,
