15,2012-09-10 09:36:38.166882,1,14,Wetlands,"Natural or artificial areas where the water level is permanently or temporarily at (or very near) the land surface, typically covered in either herbaceous or woody vegetation cover. The category includes fresh, brakish and salt-water conditions. Examples include pans (with non-permanent water cover), and reed-marsh or papyrus-swamp. Dry pans are included in this category unless they are permanently dry.",0.175784,1,1,
19,2012-09-10 09:36:45.493277,1,18,Degraded Forest Woodland,"Permanent or near-permanent, man-induced areas of very low vegetation cover i.e. removal of tree, bush, or herbaceous cover in comparison to the surrounding natural vegetation cover. Typically associated with subsistence level agriculture and rural population centres, where overgrazing of livestock and or wood-resource removal has been locally excessive. Often associated with severe soil erosion problems.",0.439919,1,1,
21,2012-09-09 21:48:19.358989,1,20,Degraded Shrubland Low Fynbos,"Permanent or near-permanent, man-induced areas of very low vegetation cover i.e. removal of tree, bush, or herbaceous cover in comparison to the surrounding natural vegetation cover. Typically associated with subsistence level agriculture and rural population centres, where overgrazing of livestock and or wood-resource removal has been locally excessive. Often associated with severe soil erosion problems.",1,1,1,
24,2012-09-10 09:39:16.986954,1,23,Cultivated perm commercial,Land which has been ploughed and or prepared for the raising of crops excluding timber production. Unless otherwise stated includes areas currently under crop fallow land and land being prepared for planting. Class boundaries are broadly defined to encompass the main areas of agricultural activity and are not defined on exact field boundaries. As such all sub-classes may include small inter-field cover types e.g. hedges grass strips small windbreaks as well as farm infrastructure Commercial  characterised by large uniform well managed field units i.e.   50 ha with the aim of supplying both regional national and export markets. Often highly mechanised.,0.8,1,1,
2,2012-09-09 21:17:45.526917,1,1,"Forest (indigenous) 
","All wooded areas with a tree canopy > 70 %. A multi-strata community, with interlocking canopies, composed of canopy, sub-canopy, shrub and herb layers. The canopy is composed mainly of self-supporting, single stemmed, woody plants > 5 metres in height. Essentially indigenous species, growing under natural or semi-natural conditions (although it may include some areas of self-seeded exotic species). Excludes planted forests (and woodlots)",8,1,1,
10,2012-09-10 09:36:15.555301,1,9,Forest Plantations Pine spp,"All areas of systematically planted, man-managed tree resources, composed of primarily exotic species (including hybrids). Category includes both young and mature plantations that have been established for commercial timber production, seedling trials and woodlot / windbreaks of sufficient size to be identifiable on satellite imagery. Excludes all non-timber based plantations such as tea, sisal, citrus, nut crops etc",5.03019,1,1,
13,2012-09-09 21:18:30.277679,1,12,Forest Plantations clearfelled,"All areas of systematically planted, man-managed tree resources, composed of primarily exotic species (including hybrids). Category includes both young and mature plantations that have been established for commercial timber production, seedling trials and woodlot / windbreaks of sufficient size to be identifiable on satellite imagery. Excludes all non-timber based plantations such as tea, sisal, citrus, nut crops etc.",6,1,1,
14,2012-09-10 09:36:35.531222,1,13,Waterbodies,"Areas of (generally permanent) open water. The category includes both natural and man-made waterbodies, which are either static or flowing, and fresh, brakish and salt-water conditions. This category includes features such as rivers, major reservoirs, farm-level irrigation dams, permanent pans, lakes and lagoons.",0.0852217,1,1,
23,2012-09-10 09:36:57.420043,1,22,Degraded natural Grassland,"Permanent or near-permanent, man-induced areas of very low vegetation cover i.e. removal of tree, bush, or herbaceous cover in comparison to the surrounding natural vegetation cover. Typically associated with subsistence level agriculture and rural population centres, where overgrazing of livestock and or wood-resource removal has been locally excessive. Often associated with severe soil erosion problems.",0.722291,1,1,
16,2012-09-09 21:48:03.271303,1,15,Bare Rock and Soil natural,"Natural areas of exposed sand, soil or rock with no, or very little vegetation cover during any time of the year, (excluding agricultural fields with no crop cover, and open cast mines and quarries). Examples would include rock outcrops, beach sand, and dry riverbed material.",0,1,1,
