25,2013-03-30 14:37:27.431917,1,24,Cultivated perm commercial dry,"",0,1,1,
29,2013-03-18 19:48:10.476735,1,28,Cultivated temp subsist dry,"",8.6281,1,1,
16,2013-03-18 13:26:25.803346,1,15,Bare Rock and Soil natural,"Natural areas of exposed sand, soil or rock with no, or very little vegetation cover during any time of the year, (excluding agricultural fields with no crop cover, and open cast mines and quarries). Examples would include rock outcrops, beach sand, and dry riverbed material.",0.0425639,1,1,
32,2013-03-31 17:19:56.044171,1,31,Urban rural cluster,"Areas of clustered rural dwellings (i.e. kraals) whose structural density is too low to be classified as a formal village, but are of sufficient level to be easily identifiable as such on satellite imagery. Small scale cultivation / garden plots often form a major spatial component, and are located amongst the residential structures.",7.28462,1,1,
14,2013-03-31 16:13:24.167438,1,13,Waterbodies,"Areas of (generally permanent) open water. The category includes both natural and man-made waterbodies, which are either static or flowing, and fresh, brakish and salt-water conditions. This category includes features such as rivers, major reservoirs, farm-level irrigation dams, permanent pans, lakes and lagoons.",0.508196,1,1,
34,2013-03-20 06:38:18.937774,1,33,Urban flatland,"Permanent residential structures, consisting mainly of 3 or more levels (often up to 10), resulting in a concentration of mid-to-high rise building, for example Hillbrow (Jhb) or Sunnyside (Pta).",2.34599,1,1,
35,2013-03-19 16:33:32.725358,1,34,Urban mixed,mixed residential,6.8847,1,1,
36,2013-03-31 17:22:31.459061,1,35,Urban hostels,"Permanent residential structures, typically located in formal township districts, consisting mainly of 1 or 2 levels in concentrated block-like structures.",0.201968,1,1,
37,2013-03-18 12:05:58.802383,1,36,Urban formal township,"Permanent (i.e. brick etc) structures (predominately single level), usually located on serviced sites within former black residential areas, laid out in a organised, pre-planned manner. Includes both low and high building densities.",1.45095,1,1,
38,2013-03-18 19:48:24.412878,1,37,Urban informal township,"Permanent / semi-permanent shack type dwellings (i.e. corrugated tin structures) laid out and established in an organised, pre-planned manner on both serviced and non-serviced sites. Includes both low and high building densities",0.45281,1,1,
39,2013-03-31 16:56:09.939362,1,38,Urban squatter camp,"Non-permanent shack type dwellings (i.e. tin, cardboard, wood etc) typically established on an informal, ad hoc basis, on non-serviced sites. Typically high building densities",1.03672,1,1,
40,2013-03-30 14:37:59.775685,1,39,smallholdings forest woodland,"",4.59724,1,1,
41,2013-03-18 19:48:33.604827,1,40,smallholdings thicket bushland,"",0.979605,1,1,
43,2013-03-19 16:33:14.485199,1,42,smallholdings grassland,"",1.28029,1,1,
46,2013-03-18 12:05:42.203117,1,45,industrial  transport  heavy,"Non-residential areas with major industrial (i.e. manufacture and/or processing of goods and products) or transport related infrastructure. Examples would include power stations, steel mills, dockyards, train stations and airports (i.e. Johannesburg).",2.16461,1,1,
47,2013-03-20 06:38:58.507168,1,46,industrial transport  light,"Non-residential areas with major technology, manufacturing or transport related infrastructure. Examples would include light manufacturing units, warehouse dominated business development centres, and small airports (i.e. Lanseria). Also includes similar structures such as farm-based pig and battery hen breeding units.",1.05701,1,1,
30,2013-03-30 14:37:45.785296,1,29,Cultivated temp subsistence,"",0.535576,1,1,
